tag,name,published_at,prerelease,url
v2026.5.31-beta.3,openclaw 2026.5.31-beta.3,2026-05-31T19:19:39Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.5.31-beta.3
v2026.5.31-beta.4,openclaw 2026.5.31-beta.4,2026-06-01T02:04:59Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.5.31-beta.4
v2026.6.1-beta.1,openclaw 2026.6.1-beta.1,2026-06-01T09:45:05Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.1-beta.1
v2026.6.1-beta.2,openclaw 2026.6.1-beta.2,2026-06-01T21:56:19Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.1-beta.2
v2026.6.1-beta.3,openclaw 2026.6.1-beta.3,2026-06-03T09:16:02Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.1-beta.3
v2026.6.6,openclaw 2026.6.6,2026-06-12T11:04:42Z,false,https://github.com/openclaw/openclaw/releases/tag/v2026.6.6
v2026.6.7-beta.1,openclaw 2026.6.7-beta.1,2026-06-13T09:42:35Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.7-beta.1
v2026.6.8-beta.1,openclaw 2026.6.8-beta.1,2026-06-14T22:45:33Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.8-beta.1
v2026.6.8-beta.2,openclaw 2026.6.8-beta.2,2026-06-16T01:50:19Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.8-beta.2
v2026.6.8,openclaw 2026.6.8,2026-06-16T16:32:26Z,false,https://github.com/openclaw/openclaw/releases/tag/v2026.6.8
v2026.6.9-beta.1,openclaw 2026.6.9-beta.1,2026-06-19T05:52:39Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.9-beta.1
v2026.6.9,openclaw 2026.6.9,2026-06-21T01:44:28Z,false,https://github.com/openclaw/openclaw/releases/tag/v2026.6.9
v2026.6.10-beta.1,openclaw 2026.6.10-beta.1,2026-06-21T09:12:41Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.10-beta.1
v2026.6.10-beta.2,openclaw 2026.6.10-beta.2,2026-06-22T09:36:28Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.10-beta.2
v2026.6.10,openclaw 2026.6.10,2026-06-24T03:06:38Z,false,https://github.com/openclaw/openclaw/releases/tag/v2026.6.10
v2026.6.11-beta.1,openclaw 2026.6.11-beta.1,2026-06-24T23:37:32Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.11-beta.1
v2026.6.11-beta.2,openclaw 2026.6.11-beta.2,2026-06-28T23:19:35Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.6.11-beta.2
v2026.6.11,openclaw 2026.6.11,2026-06-30T16:06:39Z,false,https://github.com/openclaw/openclaw/releases/tag/v2026.6.11
v2026.7.1-beta.1,openclaw 2026.7.1-beta.1,2026-07-02T07:25:49Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.7.1-beta.1
v2026.7.1-beta.2,openclaw 2026.7.1-beta.2,2026-07-05T09:10:09Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.7.1-beta.2
v2026.7.1-beta.5,OpenClaw 2026.7.1-beta.5,2026-07-11T10:36:02Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.7.1-beta.5
v2026.7.1-beta.6,openclaw 2026.7.1-beta.6,2026-07-13T01:38:43Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.7.1-beta.6
v2026.7.1,openclaw 2026.7.1,2026-07-13T22:33:14Z,false,https://github.com/openclaw/openclaw/releases/tag/v2026.7.1
v2026.7.2-beta.1,openclaw 2026.7.2-beta.1,2026-07-15T18:48:24Z,true,https://github.com/openclaw/openclaw/releases/tag/v2026.7.2-beta.1
